,LOCATION,PLOT #,REP,BLOCK _by_REP,IBLK,ENTRY,Row,Col,VARIETY,AD ,HT ,YIELD ,TSTWT ,TKWT,SPSM,KPS,KPSM,eps,cdo549,bcd907,barc57           ,barc12           ,tam055tam61,cdo395,barc86           ,ksuA6,cdo638,barc67 ,cmwg680bcd366,bcd1380,bcd1555,bcd141,bcd22,bcd372,bcd361,gwm155           
1,LIN00,5171,1,6,6,1,6,8,CCW3A01,18,91.44,3.01,76.912,32.0647,405.1611,23.2,9399.738,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
105,LIN00,5213,2,1,9,1,9,9,CCW3A01,15,96.52,2.973,76.728,28.819,491.9021,21,10329.944,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
209,LIN00,5349,3,4,20,1,20,12,CCW3A01,12,93.98,3.769,77.28,32.343,482.2051,24.2,11669.364,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
313,LIN00,5457,4,4,28,1,28,8,CCW3A01,16,96.52,3.222,77.28,33.1618,314.8156,30.9,9727.801,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
417,LIN01,5198,1,8,8,1,4,7,CCW3A01,21,104.14,4.682,80.04,32.9651,412.9148,34.4,14204.27,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
521,LIN01,5303,2,1,9,1,5,3,CCW3A01,21,99.06,4.941,80.96,35.4049,491.444,28.4,13957.009,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
625,LIN01,5510,3,1,17,1,9,10,CCW3A01,23,99.06,5.328,80.592,35.2036,540.561,28,15135.709,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
729,LIN01,5721,4,2,26,1,13,21,CCW3A01,22,96.52,4.598,81.144,35.4891,472.8875,27.4,12957.119,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
833,LIN99,5101,1,1,1,1,1,1,CCW3A01,26,119.38,2.917,76.176,38,310.3648,24.76,7683.701,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
937,LIN99,5362,2,1,2,1,7,10,CCW3A01,29,116.84,1.378,75.808,37.9711,116.7898,31.1,3632.164,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1041,LIN99,5516,3,1,3,1,9,16,CCW3A01,-,111.76,1.65,75.256,36.538,200.2683,22.57,4520.342,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1145,LIN99,5794,4,1,4,1,16,11,CCW3A01,-,114.3,1.559,74.888,39.9223,189.7882,20.6,3909.637,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1249,MD00,5119,1,2,2,1,1,19,CCW3A01,18,127,3.847,75.532,32.8325,595.4836,19.7,11731.026,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1353,MD00,5212,2,1,9,1,5,8,CCW3A01,17,132.08,4.105,78.476,33.0635,493.3513,25.2,12432.452,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1457,MD00,5316,3,1,17,1,9,8,CCW3A01,17,132.08,4.176,78.108,31.9851,487.7792,26.8,13072.482,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1561,MD00,5420,4,1,25,1,13,8,CCW3A01,17,132.08,3.413,77.464,33.0552,356.5255,29,10339.239,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1665,MD01,5154,1,5,5,1,3,2,CCW3A01,31,109.22,5.335,79.856,34.9746,552.6818,27.6,15254.018,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1769,MD01,5373,2,6,14,1,7,21,CCW3A01,30,109.22,4.894,79.488,33.1203,555.5477,26.6,14777.57,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1873,MD01,5572,3,6,22,1,11,20,CCW3A01,34,114.3,5.348,80.04,33.2375,502.867,32,16091.743,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1977,MD01,5789,4,7,31,1,16,16,CCW3A01,27,106.68,5.042,79.672,35,556.2476,25.9,14406.812,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2081,SD00,5185,1,7,7,1,4,20,CCW3A01,31,109.22,4.062,79.12,27.0316,791.8366,19,15044.896,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2185,SD00,5265,2,5,13,1,7,9,CCW3A01,31,109.22,4.75,79.304,29.1207,704.0347,23.2,16333.605,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2289,SD00,5401,3,8,24,1,12,12,CCW3A01,31,106.68,3.813,78.016,26.9833,592.0219,23.9,14149.324,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2393,SD00,5449,4,3,27,1,14,16,CCW3A01,29,88.9,2.812,76.176,26.9617,400.1034,26.1,10442.698,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2497,SD01,5188,1,7,7,1,3,28,CCW3A01,47,99.06,2.583,72.496,22.1563,331.2505,35.2,11660.019,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2601,SD01,5362,2,5,13,1,6,15,CCW3A01,43,101.6,2.005,70.288,23.1923,302.253,28.6,8644.435,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2705,SD01,5527,3,3,19,1,8,6,CCW3A01,45,91.44,1.709,69,21.7305,307.1772,25.6,7863.736,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
